date,description,amount
2026-01-15,Starbucks Coffee,6.50
2026-01-15,Uber Ride to Office,24.00
2026-01-16,Whole Foods Market,87.32
2026-01-16,Netflix Subscription,15.99
2026-01-17,Shell Gas Station,45.00
2026-01-17,Amazon - Wireless Mouse,29.99
2026-01-18,Chipotle Mexican Grill,12.50
2026-01-18,Planet Fitness,25.00
2026-01-19,Con Edison Electric Bill,142.00
2026-01-19,Venmo - Jake (dinner split),35.00
2026-01-20,Apple App Store,4.99
2026-01-20,Target - Household Items,63.45
2026-01-21,Spotify Premium,10.99
2026-01-21,CVS Pharmacy,18.75
2026-01-22,MTA MetroCard Refill,33.00
